Treningens start;Treningens slutt;Øvelse;Vekt;Repetisjoner;Notater;Kcal;Avstand;Varighet;Kategori;Navn;Kroppsvekt
2026-03-24 07:23;2026-03-24 08:09;"Squat";60;5;"Con plato";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Squat";65;5;"";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Squat";70;5;"";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Skulderpress med håndvekter";18;8;"";;;;Skuldre;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Skulderpress med håndvekter";18;8;"";;;;Skuldre;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Skulderpress med håndvekter";18;8;"";;;;Skuldre;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Hack squat";30;8;"";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Hack squat";30;8;"";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Hack squat";30;8;"";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Lårcurl";50;8;"";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Lårcurl";55;8;"";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Lårcurl";55;7;"";;;;Ben;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Skulderløft med håndvekter";5;8;"";;;;Skuldre;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Skulderløft med håndvekter";5;8;"";;;;Skuldre;"B: Legs & Shoulders";
2026-03-24 07:23;2026-03-24 08:09;"Skulderløft med håndvekter";5;8;"";;;;Skuldre;"B: Legs & Shoulders";
2026-03-22 08:19;2026-03-22 09:10;"Skulderpress med håndvekter";18;8;"";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Skulderpress med håndvekter";18;8;"";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Skulderpress med håndvekter";20;6;"";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Militærpress";20;5;"";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Militærpress";20;8;"";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Militærpress";20;8;"";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Skulderløft med håndvekter";5;8;"";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Skulderløft med håndvekter";5;8;"";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Skulderløft med håndvekter";5;8;"Machine";;;;Skuldre;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Cable Crossovers";10;8;"";;;;Bryst;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Cable Crossovers";10;8;"";;;;Bryst;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Cable Crossovers";10;8;"";;;;Bryst;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Cable pushdown";20;8;"";;;;Triceps;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Cable pushdown";20;8;"";;;;Triceps;"C: Shoulders & Tri";
2026-03-22 08:19;2026-03-22 09:10;"Cable pushdown";22.5;6;"";;;;Triceps;"C: Shoulders & Tri";
2026-03-20 07:07;2026-03-20 07:48;"Markløft";100;5;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Markløft";110;5;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Markløft";110;5;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Roing med vektstang";50;8;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Roing med vektstang";50;8;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Roing med vektstang";55;7;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Nedtrekk";55;6;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Nedtrekk";50;8;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Nedtrekk";50;7;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Roing med håndvekt";16;8;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Roing med håndvekt";18;8;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Roing med håndvekt";18;8;"";;;;Rygg;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Bicepsløft med håndvekt";8;10;"";;;;Biceps;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Bicepsløft med håndvekt";8;7;"";;;;Biceps;"A: Back & Bi";
2026-03-20 07:07;2026-03-20 07:48;"Bicepsløft med håndvekt";8;7;"";;;;Biceps;"A: Back & Bi";
2026-03-12 07:10;2026-03-12 08:02;"Squat";60;5;"Con  plato de derecho";;;;Ben;"B: Legs & Shoulders";
2026-03-12 07:10;2026-03-12 08:02;"Squat";60;5;"";;;;Ben;"B: Legs & Shoulders";
2026-03-12 07:10;2026-03-12 08:02;"Squat";60;5;"";;;;Ben;"B: Legs & Shoulders";
2026-03-12 07:10;2026-03-12 08:02;"Skulderpress med håndvekter";18;8;"";;;;Skuldre;"B: Legs & Shoulders";
2026-03-12 07:10;2026-03-12 08:02;"Skulderpress med håndvekter";18;8;"";;;;Skuldre;"B: Legs & Shoulders";
2026-03-12 07:10;2026-03-12 08:02;"Skulderpress med håndvekter";18;4;"";;;;Skuldre;"B: Legs & Shoulders";
